country,year,population,pop_density,net_migration,migration_perc,region,incomeLevel,lendingType,capitalCity,longitude,latitude
Afghanistan,2017,36296400.0,55.5959930153479,-314602.0,-0.0086675813579308,South Asia,Low income,IDA,Kabul,69.1761,34.5228
Afghanistan,2012,31161376.0,47.7305639800263,521769.0,0.0167440937139617,South Asia,Low income,IDA,Kabul,69.1761,34.5228
Afghanistan,2007,27100536.0,41.5104861685507,-1046361.0,-0.0386103433526185,South Asia,Low income,IDA,Kabul,69.1761,34.5228
Afghanistan,2002,22600770.0,34.6180957632571,744193.0,0.0329277719298944,South Asia,Low income,IDA,Kabul,69.1761,34.5228
Afghanistan,1997,19357126.0,29.6497350121006,-867540.0,-0.0448176036049979,South Asia,Low income,IDA,Kabul,69.1761,34.5228
Afghanistan,1992,14485546.0,22.1878289372913,3076383.0,0.2123760471300149,South Asia,Low income,IDA,Kabul,69.1761,34.5228
Afghanistan,1987,11604534.0,17.774919584597,-1525351.0,-0.1314443992322311,South Asia,Low income,IDA,Kabul,69.1761,34.5228
Afghanistan,1982,12882528.0,19.7324510614833,-3345095.0,-0.2596613801266335,South Asia,Low income,IDA,Kabul,69.1761,34.5228
Afghanistan,1977,13171306.0,20.1747786661765,-1153959.0,-0.0876115853659462,South Asia,Low income,IDA,Kabul,69.1761,34.5228
Afghanistan,1972,11791215.0,18.0608629721533,-20000.0,-0.0016961780444169,South Asia,Low income,IDA,Kabul,69.1761,34.5228
Afghanistan,1967,10399926.0,15.9297950556015,-20000.0,-0.0019230906066062,South Asia,Low income,IDA,Kabul,69.1761,34.5228
Afghanistan,1962,9351441.0,14.3238075544527,-20000.0,-0.002138707820538,South Asia,Low income,IDA,Kabul,69.1761,34.5228
Albania,2017,2873457.0,104.870693430657,-69998.0,-0.0243602044505973,Europe & Central Asia,Upper middle income,IBRD,Tirane,19.8172,41.3317
Albania,2012,2900401.0,105.854051094891,-136590.0,-0.0470934881073341,Europe & Central Asia,Upper middle income,IBRD,Tirane,19.8172,41.3317
Albania,2007,2970017.0,108.394781021898,-217358.0,-0.0731840928856636,Europe & Central Asia,Upper middle income,IBRD,Tirane,19.8172,41.3317
